1865    1865-06-11	3003
1896	1896-04-28	4049
1896	1896-04-28	4059
1896	1896-04-28	4078
1896	1896-04-28	4080
1896	1896-04-28	4333
1896	1896-04-28	4824
1896	1896-04-28	4825
1896	1896-04-28	4852
1896	1896-05-05	3488
1896	1896-05-05	3491
1896	1896-05-05	3494
1896	1896-05-05	3650
1896	1896-05-05	4004
1896	1896-05-05	4025
1896	1896-05-05	4028
1896	1896-05-05	4029
1896	1896-05-05	4033
1896	1896-05-05	4034
1896	1896-05-05	4048
1896	1896-05-05	4076
1896	1896-05-05	4103
1896	1896-05-05	4110
1896	1896-05-05	4111
1896	1896-05-05	4453
1896	1896-05-05	4848
1896	1896-05-05	4940
1896	1896-05-12	3508
1896	1896-05-12	3512
1896	1896-05-12	3516
1896	1896-05-12	3521
1896	1896-05-12	4037
1896	1896-05-12	4097
1896	1896-05-12	4112
1896	1896-05-12	4135
1896	1896-05-12	4167
1896	1896-05-12	4170
1896	1896-05-12	4184
1896	1896-05-12	4962
1896	1896-05-19	3526
1896	1896-05-19	4055
1896	1896-05-19	4161
1896	1896-05-19	4180
1896	1896-05-19	4189
1896	1896-05-19	4190
1896	1896-05-19	4191
1896	1896-05-19	4198
1896	1896-05-19	4208
1896	1896-05-19	4210
1896	1896-05-19	4321
1896	1896-05-26	3529
1896	1896-05-26	3781
1896	1896-05-26	4015
1896	1896-05-26	4075
1896	1896-05-26	4148
1896	1896-05-26	4159
1896	1896-05-26	4796
1896	1896-06-09	3542
1896	1896-06-09	3548
1896	1896-06-09	3555
1896	1896-06-09	4001
1896	1896-06-09	4044
1896	1896-06-09	4073
1896	1896-06-09	4126
1896	1896-06-09	4127
1896	1896-06-09	4128
1896	1896-06-09	4132
1896	1896-06-09	4133
1896	1896-06-09	4147
1896	1896-06-09	4186
1896	1896-06-09	4204
1896	1896-06-09	4405
1896	1896-06-09	4956
1896	1896-06-16	3541
1896	1896-06-16	4203
1896	1896-06-16	4814
1896	1896-06-16	4914
1896	1896-06-23	3971
1896	1896-06-23	4178
1896	1896-06-23	4179
1896	1896-06-23	4192
1896	1896-06-23	4193
1896	1896-06-23	4196
1896	1896-06-23	4197
1896	1896-06-23	4205
1896	1896-06-23	4213
1896	1896-06-23	4235
1896	1896-06-23	4238
